Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),NW,36,28/9/2016,12:41,NW,16,28/9/2016,11:00
Central Pier,W,51,28/9/2016,12:51,W,31,28/9/2016,13:00
,W,51,28/9/2016,12:52,,,,
Cheung Chau,WNW,62,28/9/2016,16:58,WNW,34,28/9/2016,10:00
Cheung Chau Beach,W,54,28/9/2016,17:00,WNW,25,28/9/2016,12:00
,,,,,WNW,25,28/9/2016,13:00
Green Island,NW,58,28/9/2016,11:37,NNW,23,28/9/2016,21:00
Hong Kong International Airport,NW,47,28/9/2016,21:23,NNW,36,28/9/2016,22:00
Kai Tak,W,54,28/9/2016,12:51,WNW,30,28/9/2016,13:00
King's Park,W,47,28/9/2016,12:49,WNW,16,28/9/2016,16:00
Lau Fau Shan,WNW,56,28/9/2016,11:20,WNW,40,28/9/2016,12:00
,WNW,56,28/9/2016,18:05,,,,
Ngong Ping,NW,63,28/9/2016,19:57,NW,31,28/9/2016,21:00
,NNW,63,28/9/2016,19:58,,,,
North Point,WNW,49,28/9/2016,12:59,W,31,28/9/2016,13:00
Peng Chau,NW,63,28/9/2016,08:52,WNW,45,28/9/2016,09:00
Ping Chau,WNW,36,28/9/2016,18:38,WNW,14,28/9/2016,09:00
Sai Kung,W,40,28/9/2016,10:56,WNW,19,28/9/2016,12:00
,WNW,40,28/9/2016,11:04,,,,
Sha Chau,NNW,49,28/9/2016,21:28,NNW,25,28/9/2016,22:00
Sha Lo Wan,WNW,38,28/9/2016,20:32,W,13,28/9/2016,11:00
,,,,,W,13,28/9/2016,21:00
Sha Tin,W,31,28/9/2016,13:39,N,9,28/9/2016,09:00
Shek Kong,W,34,28/9/2016,13:44,W,14,28/9/2016,14:00
Star Ferry (Kowloon),WNW,49,28/9/2016,18:41,WNW,31,28/9/2016,13:00
Ta Kwu Ling,WNW,31,28/9/2016,16:24,W,13,28/9/2016,17:00
Tai Mei Tuk,WNW,56,28/9/2016,15:19,WNW,27,28/9/2016,09:00
Tai Mo Shan,WNW,83,28/9/2016,13:57,WNW,59,28/9/2016,14:00
Tai Po Kau,W,45,28/9/2016,13:02,WNW,23,28/9/2016,12:00
Tap Mun,W,56,28/9/2016,10:56,WNW,38,28/9/2016,09:00
Tate's Cairn,WNW,68,28/9/2016,20:34,WNW,38,28/9/2016,15:00
Tseung Kwan O,W,27,28/9/2016,10:55,NNW,9,28/9/2016,13:00
,NW,27,28/9/2016,14:36,,,,
Tsing Yi Shell Oil Depot,WNW,41,28/9/2016,10:29,WNW,27,28/9/2016,11:00
Tuen Mun Government Offices,WNW,54,28/9/2016,12:00,WNW,16,28/9/2016,13:00
Waglan Island,WNW,51,28/9/2016,17:34,WNW,34,28/9/2016,18:00
Wetland Park,NW,41,28/9/2016,14:11,NW,16,28/9/2016,10:00
,,,,,NW,16,28/9/2016,19:00
Wong Chuk Hang,W,43,28/9/2016,19:22,W,16,28/9/2016,20:00
