Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),W,38,21/6/2009,05:29,W,16,21/6/2009,05:00
Central Pier,WNW,36,20/6/2009,13:35,W,14,20/6/2009,14:00
Cheung Chau,SE,31,21/6/2009,05:25,WSW,19,20/6/2009,17:00
,SE,31,21/6/2009,05:30,,,,
,SE,31,21/6/2009,05:35,,,,
Hong Kong International Airport,SW,30,21/6/2009,03:57,SW,19,21/6/2009,05:00
,SW,30,21/6/2009,04:32,,,,
Kai Tak,WNW,27,21/6/2009,05:41,SW,12,20/6/2009,15:00
King's Park,W,40,21/6/2009,05:09,W,13,20/6/2009,16:00
Lau Fau Shan,WSW,31,20/6/2009,16:24,WSW,23,20/6/2009,17:00
Ngong Ping,W,51,21/6/2009,04:49,W,31,21/6/2009,05:00
North Point,WSW,31,21/6/2009,05:41,W,13,20/6/2009,15:00
Peng Chau,WSW,27,21/6/2009,05:41,SW,7,20/6/2009,15:00
Ping Chau,S,22,20/6/2009,15:48,SW,9,20/6/2009,14:00
Sai Kung,WSW,25,21/6/2009,05:45,S,16,20/6/2009,15:00
Sha Chau,SSW,27,20/6/2009,21:07,SSW,20,20/6/2009,21:00
Sha Lo Wan,SW,27,21/6/2009,04:36,SW,13,21/6/2009,05:00
Sha Tin,SSW,27,21/6/2009,05:44,SSW,14,20/6/2009,16:00
Shek Kong,WNW,20,20/6/2009,14:03,NW,7,20/6/2009,15:00
Star Ferry (Kowloon),WNW,31,21/6/2009,05:30,WNW,16,20/6/2009,14:00
,WNW,31,21/6/2009,05:31,,,,
Ta Kwu Ling,WSW,22,20/6/2009,14:18,WSW,9,20/6/2009,15:00
Tai Mei Tuk,W,31,20/6/2009,16:47,S,13,20/6/2009,17:00
Tai Mo Shan,W,31,20/6/2009,16:54,W,22,20/6/2009,17:00
Tap Mun,SE,20,20/6/2009,15:07,SSW,9,20/6/2009,16:00
Tate's Cairn,W,45,21/6/2009,05:23,SW,22,21/6/2009,05:00
,WSW,45,21/6/2009,05:24,,,,
Tsak Yue Wu,SW,16,20/6/2009,15:49,N,7,20/6/2009,11:00
,,,,,SW,7,20/6/2009,17:00
Tseung Kwan O,WNW,23,21/6/2009,05:41,ENE,9,20/6/2009,11:00
Tsing Yi Shell Oil Depot,W,23,21/6/2009,05:05,S,9,20/6/2009,15:00
Tuen Mun Government Offices,W,27,20/6/2009,15:24,WNW,12,20/6/2009,16:00
Waglan Island,WSW,47,21/6/2009,05:37,SW,22,21/6/2009,05:00
Wetland Park,WNW,25,20/6/2009,15:51,W,9,20/6/2009,17:00
Wong Chuk Hang,NW,23,21/6/2009,05:05,SE,12,20/6/2009,14:00
,,,,,,,,
