Typhoon Code,Typhoon Name,Bluff Head (Stanley),Central Pier,Cheung Chau,Cheung Chau Beach,Green Island,Hong Kong International Airport,Kai Tak,King's Park,Lamma Island,Lau Fau Shan,Ngong Ping,North Point,Peng Chau,Ping Chau,Sai Kung,Sha Chau,Sha Lo Wan,Sha Tin,Shek Kong,Star Ferry (Kowloon),Ta Kwu Ling,Tai Mei Tuk,Tai Mo Shan,Tai Po Kau,Tap Mun East,Tate's Cairn,Tseung Kwan O,Tsing Yi Shell Oil Depot,Tuen Mun Government Offices,Waglan Island,Wetland Park,Wong Chuk Hang, 
(0806,Fengshen,72,45,70,nan,nan,59,54,31,nan,65,140,45,59,25,47,59,49,31,25,51,23,nan,85,nan,nan,76,23,45,30,99,30,31, 
(0801,Neoguri,56,43,76,nan,70,56,45,27,nan,40,135,30,70,30,38,63,45,30,41,41,25,62,90,nan,nan,58,20,36,31,76,23,38, 
(0713,Francisco,nan,41,54,nan,54,36,30,23,nan,31,90,31,45,14,38,38,31,20,25,30,23,45,68,nan,nan,76,16,16,14,68,20,31, 
(0706_2,Pabuk_2,nan,25,85,nan,nan,54,30,25,nan,31,85,22,31,14,43,54,40,30,nan,25,20,45,56,nan,nan,51,19,36,31,77,23,20, 
(0706_1,Pabuk_1,nan,36,67,nan,nan,47,34,30,nan,31,70,45,51,19,40,51,34,23,nan,25,22,56,70,nan,nan,75,30,19,14,79,23,31, 
(0619,Cimaron,nan,20,45,nan,51,34,31,23,nan,34,nan,27,nan,9,40,nan,25,22,23,20,25,45,67,nan,nan,22,16,nan,14,51,nan,19, 
(0615W,TD0615W,nan,36,47,nan,49,36,30,23,nan,20,nan,31,nan,13,38,nan,22,19,16,27,19,45,65,nan,nan,63,22,nan,20,68,nan,27, 
(0613W,TD0613W,nan,23,40,nan,6,30,23,14,nan,20,nan,25,nan,12,36,nan,22,12,14,23,14,31,47,nan,nan,40,13,nan,19,45,nan,16, 
(0609,Bopha,nan,19,25,nan,23,23,22,12,nan,20,nan,16,nan,7,16,nan,23,13,7,22,9,nan,43,nan,nan,34,9,nan,12,27,nan,13, 
(0606,Prapiroon,nan,54,103,nan,72,72,58,43,nan,41,nan,47,nan,23,56,nan,62,30,38,58,36,nan,110,nan,nan,81,nan,nan,38,79,nan,52, 
