Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SSW,118,22/8/2008,19:54,SSW,75,22/8/2008,20:00
Central Pier,WNW,90,22/8/2008,11:44,NW,43,22/8/2008,12:00
Cheung Chau,SSW,126,22/8/2008,22:18,SSW,88,22/8/2008,23:00
Cheung Sha Wan,SW,96,23/8/2008,00:10,SW,54,22/8/2008,21:00
Green Island,SSW,144,22/8/2008,23:06,SW,110,22/8/2008,21:00
Hong Kong International Airport,SSW,112,23/8/2008,01:11,SSW,76,23/8/2008,01:00
Kai Tak,N,118,22/8/2008,13:08,N,47,22/8/2008,13:00
King's Park,NNE,118,22/8/2008,10:51,SSW,49,22/8/2008,21:00
Lau Fau Shan,N,92,22/8/2008,08:28,N,49,22/8/2008,09:00
Ngong Ping,SW,196,22/8/2008,23:31,SW,128,23/8/2008,01:00
North Point,NNE,110,22/8/2008,12:02,NNE,54,22/8/2008,14:00
Peng Chau,N,112,22/8/2008,10:32,NNW,62,22/8/2008,12:00
,,,,,NNW,62,22/8/2008,14:00
Ping Chau,ENE,108,22/8/2008,13:32,E,34,22/8/2008,15:00
Sai Kung,NNE,148,22/8/2008,13:33,NNE,87,22/8/2008,14:00
Sha Chau,NNW,128,22/8/2008,12:36,N,94,22/8/2008,15:00
,SSW,128,23/8/2008,01:12,,,,
Sha Lo Wan,SW,135,23/8/2008,01:10,SW,65,23/8/2008,02:00
Sha Tin,SW,101,22/8/2008,21:27,SSW,45,22/8/2008,21:00
Shek Kong,NNE,76,22/8/2008,14:10,N,38,22/8/2008,15:00
Star Ferry (Kowloon),WSW,104,22/8/2008,20:00,S,34,22/8/2008,21:00
,SW,104,22/8/2008,21:12,,,,
Ta Kwu Ling,NNE,87,22/8/2008,13:26,N,40,22/8/2008,14:00
Tai Mei Tuk,SW,144,22/8/2008,20:25,NE,79,22/8/2008,14:00
Tai Mo Shan,SSW,144,22/8/2008,20:53,N,96,22/8/2008,13:00
Tap Mun,NE,121,22/8/2008,13:33,NE,62,22/8/2008,14:00
Tate's Cairn,N,193,22/8/2008,13:45,N,122,22/8/2008,14:00
Tsak Yue Wu,NNE,106,22/8/2008,11:48,NNE,45,22/8/2008,12:00
Tseung Kwan O,N,90,22/8/2008,12:08,N,31,22/8/2008,13:00
Tsing Yi Shell Oil Depot,NNW,101,22/8/2008,10:06,NNW,56,22/8/2008,13:00
Tuen Mun Government Offices,SSW,96,23/8/2008,02:39,S,36,23/8/2008,01:00
,,,,,S,36,23/8/2008,02:00
Waglan Island,SSW,157,22/8/2008,19:32,SSW,115,22/8/2008,20:00
Wetland Park,N,94,22/8/2008,12:08,N,41,22/8/2008,14:00
Wong Chuk Hang,N,88,22/8/2008,11:32,NNW,31,22/8/2008,13:00
