Typhoon Code,Typhoon Name,Bluff Head (Stanley),Central Pier,Cheung Chau,Cheung Chau Beach,Green Island,Hong Kong International Airport,Kai Tak,King's Park,Lamma Island,Lau Fau Shan,Ngong Ping,North Point,Peng Chau,Ping Chau,Sai Kung,Sha Chau,Sha Lo Wan,Sha Tin,Shek Kong,Star Ferry (Kowloon),Ta Kwu Ling,Tai Mei Tuk,Tai Mo Shan,Tai Po Kau,Tap Mun East,Tate's Cairn,Tseung Kwan O,Tsing Yi Shell Oil Depot,Tuen Mun Government Offices,Waglan Island,Wetland Park,Wong Chuk Hang
(1409,Rammasun,55,49,83,76,67,52,45,40,nan,36,nan,44,54,15,51,58,44,24,32,55,31,64,87,nan,nan,76,20,36,28,72,28,38
(1407,Hagibis,27,27,35,32,40,30,23,17,nan,24,29,23,30,9,16,27,16,11,16,28,16,26,44,20,nan,39,9,18,11,41,17,15
(1329,Krosa,23,28,44,53,55,37,25,25,nan,38,53,31,37,9,37,47,27,25,24,20,28,43,65,17,nan,66,18,18,28,58,24,25
(1319,Usagi,nan,62,90,72,84,68,51,40,nan,85,89,77,71,65,40,66,51,37,32,88,35,74,130,64,nan,90,24,52,50,92,32,43
(1311,Utor,65,55,77,78,69,63,50,38,nan,43,109,49,61,17,53,69,47,33,nan,60,37,69,96,53,nan,82,26,43,39,77,29,39
(1309,Jebi,41,41,68,53,52,58,42,30,nan,36,82,33,48,12,48,43,38,26,nan,42,23,47,75,38,nan,51,17,44,25,59,24,29
(1308,Cimaron,19,24,27,29,42,26,20,15,nan,17,53,20,26,5,15,30,17,11,nan,24,11,19,64,20,nan,34,15,17,18,23,15,20
(1306,Rumbia,44,38,58,50,42,56,39,30,nan,38,72,37,37,12,44,45,38,22,nan,44,21,43,69,38,nan,54,18,31,29,72,25,29
(1305,Bebinca,41,46,64,55,63,44,38,30,nan,36,78,38,48,15,42,43,38,24,29,49,19,53,74,44,nan,64,18,25,18,56,24,38
(1214,Tembin,16,27,35,26,42,37,25,20,nan,30,32,24,30,9,30,37,16,18,16,31,15,27,52,20,nan,51,17,20,18,43,17,18
(1213,Kai-tak,62,63,75,78,73,52,44,36,nan,31,101,49,65,nan,55,58,53,27,39,57,28,70,91,53,nan,80,26,30,39,75,34,38
